valid_time,latitude,longitude,t2m,u10,v10,number,expver,ssrd,temp_C,wind_speed
2025-09-01 02:00:00,41.0,-74.25,290.61157,-0.9449005,-0.33953857,0,0001,0.0,17.461578,1.0040535
2025-09-01 02:00:00,41.0,-74.0,291.5647,-0.7857208,0.29815674,0,0001,0.0,18.414703,0.84038955
2025-09-01 02:00:00,41.0,-73.75,291.9065,-0.72029114,0.92315674,0,0001,0.0,18.7565,1.1709132
2025-09-01 02:00:00,41.0,-73.5,291.77563,-0.55036926,1.427063,0,0001,0.0,18.62564,1.5295147
2025-09-01 02:00:00,41.0,-73.25,291.73462,-0.6685333,1.4797974,0,0001,0.0,18.584625,1.6238033
2025-09-01 02:00:00,41.0,-73.0,292.6018,-0.77693176,2.0159302,0,0001,0.0,19.451813,2.1604624
2025-09-01 02:00:00,40.75,-74.5,290.27368,-1.225174,0.30792236,0,0001,0.0,17.123688,1.2632765
2025-09-01 02:00:00,40.75,-74.25,291.26587,-0.8306427,0.57647705,0,0001,0.0,18.115875,1.0110852
2025-09-01 02:00:00,40.75,-74.0,292.22095,-0.67048645,1.2161255,0,0001,0.0,19.070953,1.3887092
2025-09-01 02:00:00,40.75,-73.75,292.42212,-0.86286926,1.286438,0,0001,0.0,19.272125,1.549021
2025-09-01 02:00:00,40.75,-73.5,292.85376,-1.272049,1.3919067,0,0001,0.0,19.703766,1.8856068
2025-09-01 02:00:00,40.75,-73.25,292.80493,-1.3999786,1.4231567,0,0001,0.0,19.654938,1.9963255
2025-09-01 02:00:00,40.75,-73.0,292.62915,-1.7105255,0.9143677,0,0001,0.0,19.479156,1.9395788
2025-09-01 02:00:00,40.5,-74.5,290.9436,-1.405838,1.1731567,0,0001,0.0,17.79361,1.8310318
2025-09-01 02:00:00,40.5,-74.25,291.47876,-0.8199005,1.1604614,0,0001,0.0,18.328766,1.4208827
2025-09-01 02:00:00,40.5,-74.0,292.80493,-1.2085724,1.1008911,0,0001,0.0,19.654938,1.6348114
2025-09-01 02:00:00,40.5,-73.75,292.94165,-1.428299,1.114563,0,0001,0.0,19.791656,1.8117087
2025-09-01 02:00:00,40.5,-73.5,293.76587,-2.2818146,1.239563,0,0001,0.0,20.615875,2.5967662
2025-09-01 02:00:00,40.5,-73.25,293.65454,-2.6197052,0.7385864,0,0001,0.0,20.504547,2.7218313
2025-09-01 02:00:00,40.5,-73.0,293.47876,-2.9312286,0.22784424,0,0001,0.0,20.328766,2.9400704
2025-09-01 03:00:00,41.5,-74.5,288.73755,0.42778015,-1.5870667,0,0001,0.0,15.587555,1.6437081
2025-09-01 03:00:00,41.5,-74.25,289.54614,0.081100464,-1.7189026,0,0001,0.0,16.396149,1.7208147
2025-09-01 03:00:00,41.5,-74.0,289.99536,-0.29682922,-1.615387,0,0001,0.0,16.845367,1.642432
2025-09-01 03:00:00,41.5,-73.75,290.12427,-0.6513214,-1.5411682,0,0001,0.0,16.974274,1.6731465
2025-09-01 03:00:00,41.5,-73.5,289.38013,-0.5917511,-1.1593323,0,0001,0.0,16.230133,1.3016224
2025-09-01 03:00:00,41.5,-73.25,289.16724,-0.35151672,0.39926147,0,0001,0.0,16.017242,0.53195274
2025-09-01 03:00:00,41.5,-73.0,289.0149,-0.30171204,1.8836365,0,0001,0.0,15.864899,1.9076469
2025-09-01 03:00:00,41.25,-74.5,288.8606,-0.19233704,-1.474762,0,0001,0.0,15.710602,1.4872513
2025-09-01 03:00:00,41.25,-74.25,289.77856,-0.3495636,-1.5880432,0,0001,0.0,16.62857,1.6260616
2025-09-01 03:00:00,41.25,-74.0,290.25513,-0.6044464,-1.3907776,0,0001,0.0,17.105133,1.5164491
2025-09-01 03:00:00,41.25,-73.75,290.44263,-0.48042297,-0.56655884,0,0001,0.0,17.292633,0.74282914
2025-09-01 03:00:00,41.25,-73.5,289.80005,-0.43940735,0.625824,0,0001,0.0,16.650055,0.7646793
2025-09-01 03:00:00,41.25,-73.25,290.48364,-0.30952454,1.7684021,0,0001,0.0,17.333649,1.7952858
2025-09-01 03:00:00,41.25,-73.0,292.19458,-0.38471985,2.228363,0,0001,0.0,19.044586,2.2613294
2025-09-01 03:00:00,41.0,-74.5,288.69067,-0.7655792,-1.0480042,0,0001,0.0,15.54068,1.2978537
2025-09-01 03:00:00,41.0,-74.25,289.56372,-0.6562042,-0.811676,0,0001,0.0,16.413727,1.0437537
2025-09-01 03:00:00,41.0,-74.0,290.84106,-0.42182922,-0.10269165,0,0001,0.0,17.69107,0.43414915
2025-09-01 03:00:00,41.0,-73.75,291.30005,-0.2919464,0.7478943,0,0001,0.0,18.150055,0.8028565
2025-09-01 03:00:00,41.0,-73.5,291.0227,-0.36714172,1.0965271,0,0001,0.0,17.872711,1.1563584
2025-09-01 03:00:00,41.0,-73.25,291.1106,-0.56147766,1.1277771,0,0001,0.0,17.960602,1.2598168
2025-09-01 03:00:00,41.0,-73.0,292.55396,-0.6601105,1.5135193,0,0001,0.0,19.403961,1.6512077
2025-09-01 03:00:00,40.75,-74.5,289.75708,-0.98628235,-0.13296509,0,0001,0.0,16.607086,0.9952048
